Project,Requirements
ATtila_15,True
AlexBerUtils_21,True
BeneDict_42,True
Breathe_46,True
Butter.MAS.PythonAPI_48,True
Buttonwood_49,True
FinanceScraper_107,True
Flask-Multi-Redis_123,True
HikLoad_158,True
Neuraxle_229,True
ODSCharts_235,True
PropArgs_267,True
PythonTwitchBotFramework_342,True
QExPy_345,True
RegonAPI_363,True
TRamWAy_423,True
Tale_428,True
URLExtract_444,True
WRFpy_455,True
WikidataIntegrator_460,True
WolkGatewayModule-SDK-Python_461,True
accessify_494,True
addon-check_513,True
advisory-parser_519,True
aeneas_520,True
aiobfd_546,True
algorithms_598,True
algorithms_599,True
algorithms_600,True
allantools_610,True
alphanum-code_621,True
alteruphono_629,True
anesthetic_652,True
anitopy_657,True
api-python_687,True
appconfigs_699,True
aries-staticagent-python_734,True
artext_744,True
async_blp_788,True
atlasclient_807,True
aud_822,True
authnzerver_833,True
autoclasswrapper_842,True
autodoc_846,True
baconator_917,True
baroness_928,True
barracks_929,True
base10_930,True
blackmamba_1027,True
blmath_1037,True
bloomtime_1044,True
bloop_1045,True
bottle-neck.git_1090,True
bruker2nifti_1122,True
btlewrap_1127,True
bytecode_tools_1150,True
cBinder_1156,True
cabrillo_1158,True
cellpy_1242,True
centreon-sdk-python_1247,True
chazutsu_1299,True
city-scrapers-core_1346,True
cmpa_1409,True
codemod_1429,True
compare-mt_1462,True
compyle_1469,True
confight_1491,True
configparse_1493,True
configutil_1496,True
coo_1528,True
cornice.ext.swagger_1545,True
cprior_1563,True
crom_1578,False
cs207-FinalProject_1600,True
cuckoopy_1637,True
cursebox_1640,True
darkchess_1678,True
darr_1680,True
dask-glm_1684,True
data-genie.git_1689,True
dataIO-project_1695,True
deconzpy_1759,True
decorpy_1762,True
dectate_1764,True
deviceidentifier-py_1801,True
dftimewolf_1814,True
django-plotly-dash_1906,True
docci_1956,True
dockerfile_bakery_1969,True
dockerpty_1970,True
domain-validation_1990,True
domain2idna_1991,True
draft_2025,True
dremio_client_2033,True
easy_python_requirements_2100,True
econ-ark_2122,True
edk2-pytool-library_2128,True
emu_2173,True
envyaml_2209,True
epochs_2214,True
epsagon-python_2216,True
etlstat.git_2238,True
expstock_2289,True
ext_pylib_2292,True
feature_engine_2363,True
fhir_parse_qs_2377,True
fhir_parse_qs_2378,True
filtered-intervaltree_2401,True
firestore_2412,True
fish_base_2416,True
flask-apify_2451,True
flask-ipban_2458,True
flynt_2507,True
fmi_2509,True
fooof_2525,True
freegs_2554,True
freezegun_2560,True
frmt.git_2564,True
gabbi_2607,True
geogrids_2651,True
geomstats_2657,True
git-task_2702,True
gitlab-stats_2722,True
gpuview_2765,True
grade_2768,True
graphene-field-permission_2775,True
gwopensci_2816,True
happybase-mock_2845,True
hex2file_2889,True
hybra-core_2989,True
identixone-python_3023,True
iexfinance_3031,True
importanize_3073,True
isbg_3165,True
itachip2ir_3187,True
